x,y,inside
0.277093,0.431871,1
0.379087,0.997105,0
0.578924,0.892812,0
0.790271,0.638825,0
0.592514,0.385350,1
0.137370,0.901612,1
0.631818,0.143826,1
0.044586,0.409015,1
0.177324,0.600628,1
0.915449,0.430218,0
0.604039,0.742579,1
0.827533,0.747539,0
0.560116,0.742209,1
0.809100,0.786352,0
0.848798,0.537539,0
0.985757,0.227483,0
0.272750,0.580315,1
0.629507,0.337783,1
0.101243,0.415005,1
0.804397,0.391246,1
0.215575,0.041275,1
0.563670,0.722344,1
0.380952,0.451373,1
0.277537,0.763054,1
0.269599,0.759528,1
0.429318,0.608002,1
0.303319,0.389010,1
0.849589,0.554489,0
0.522483,0.050776,1
0.926730,0.078459,1
0.769394,0.591174,1
0.428122,0.001010,1
0.171239,0.275005,1
0.222572,0.368740,1
0.854764,0.122538,1
0.660285,0.197282,1
0.222544,0.077652,1
0.581582,0.922580,0
0.583070,0.521176,1
0.256068,0.633612,1
0.678139,0.099680,1
0.520641,0.850865,1
0.217480,0.266367,1
0.083246,0.464892,1
0.811178,0.538309,1
0.887667,0.054247,1
0.101865,0.116572,1
0.264418,0.009034,1
0.707599,0.532908,1
0.968620,0.707441,0
0.477544,0.954744,0
0.228909,0.838182,1
0.522426,0.275878,1
0.764209,0.156897,1
0.948991,0.448739,0
0.683167,0.857540,0
0.653107,0.094125,1
0.378848,0.043990,1
0.619565,0.241013,1
0.922476,0.442780,0
0.718352,0.815271,0
0.461383,0.262382,1
0.266027,0.311579,1
0.392642,0.912992,1
0.606571,0.178530,1
0.588972,0.247106,1
0.376103,0.532993,1
0.266431,0.215270,1
0.509602,0.488154,1
0.028852,0.033120,1
0.023549,0.201529,1
0.947324,0.288270,1
0.583728,0.539412,1
0.681985,0.157321,1
0.196951,0.453682,1
0.273216,0.949700,1
0.427984,0.042387,1
0.130937,0.913303,1
0.771856,0.904573,0
0.507883,0.017263,1
0.775874,0.488364,1
0.223697,0.812196,1
0.609160,0.212858,1
0.851880,0.838029,0
0.866150,0.975553,0
0.545016,0.488048,1
0.676299,0.725098,1
0.715740,0.573207,1
0.506626,0.337111,1
0.241236,0.504220,1
0.563425,0.535937,1
0.394787,0.514244,1
0.851477,0.947666,0
0.590257,0.063031,1
0.870791,0.412161,1
0.406863,0.443352,1
0.498048,0.494906,1
0.685049,0.537399,1
0.717395,0.488757,1
0.452443,0.632968,1
