x,y,inside
0.999448,0.687244,0
0.809187,0.069572,1
0.707008,0.446799,1
0.189596,0.516125,1
0.375158,0.784138,1
0.991967,0.445624,0
0.107660,0.662326,1
0.837202,0.224838,1
0.710355,0.935941,0
0.007025,0.541123,1
0.903768,0.262931,1
0.762374,0.528397,1
0.334611,0.608634,1
0.001175,0.408041,1
0.668862,0.130186,1
0.721879,0.714533,0
0.403641,0.276289,1
0.870275,0.714001,0
0.720474,0.702332,0
0.314400,0.469653,1
0.223771,0.382184,1
0.175485,0.588597,1
0.239916,0.114603,1
0.706410,0.583507,1
0.025726,0.973731,1
0.275609,0.633649,1
0.511152,0.155240,1
0.830018,0.831115,0
0.437052,0.958041,0
0.033319,0.576013,1
0.845076,0.437668,1
0.551158,0.739943,1
0.778407,0.284115,1
0.749046,0.434764,1
0.009953,0.662674,1
0.796171,0.848508,0
0.572023,0.781334,1
0.012559,0.609448,1
0.638568,0.422904,1
0.797789,0.239651,1
0.762049,0.565959,1
0.802742,0.978711,0
0.523041,0.662366,1
0.337070,0.667183,1
0.241936,0.642262,1
0.507294,0.663957,1
0.605072,0.117325,1
0.376721,0.010185,1
0.487075,0.557802,1
0.022239,0.873261,1
0.494708,0.202845,1
0.142596,0.894920,1
0.458125,0.092900,1
0.405832,0.176637,1
0.273945,0.075968,1
0.311613,0.002716,1
0.496160,0.823095,1
0.805280,0.706476,0
0.262811,0.086170,1
0.444657,0.155407,1
0.303312,0.472173,1
0.148465,0.429763,1
0.109606,0.187366,1
0.915945,0.861590,0
0.035271,0.377376,1
0.913229,0.097610,1
0.617184,0.749665,1
0.106302,0.648763,1
0.981045,0.629446,0
0.356642,0.485439,1
0.608680,0.257958,1
0.876564,0.675717,0
0.877391,0.312622,1
0.897702,0.318711,1
0.564295,0.527057,1
0.061605,0.542431,1
0.601177,0.261953,1
0.529794,0.694307,1
0.339044,0.174925,1
0.706605,0.408306,1
0.077610,0.726699,1
0.378790,0.883094,1
0.031446,0.910206,1
0.956246,0.010007,1
0.205444,0.676229,1
0.453203,0.716600,1
0.724160,0.544266,1
0.803186,0.845579,0
0.152265,0.222657,1
0.559381,0.645349,1
0.143801,0.550522,1
0.774722,0.158543,1
0.360973,0.429099,1
0.189574,0.170808,1
0.462448,0.570571,1
0.844013,0.870859,0
0.729969,0.240673,1
0.265969,0.900730,1
0.462891,0.158487,1
0.969489,0.771962,0
0.097350,0.009390,1
0.204270,0.490602,1
0.006102,0.030968,1
0.983499,0.050717,1
0.092202,0.666033,1
0.325776,0.314208,1
0.701573,0.326298,1
0.808053,0.814005,0
0.897569,0.194090,1
0.537278,0.437480,1
0.510735,0.978089,0
0.598107,0.003551,1
0.287067,0.315633,1
0.291185,0.362678,1
0.528889,0.923674,0
0.350422,0.040370,1
0.561667,0.573271,1
0.183596,0.727331,1
0.825043,0.618910,0
0.351742,0.149590,1
0.208888,0.492030,1
0.458446,0.693919,1
0.473475,0.042961,1
0.787097,0.286393,1
0.611107,0.332377,1
0.276597,0.584388,1
0.559044,0.548753,1
0.450708,0.809845,1
0.009302,0.911299,1
0.843830,0.178134,1
0.720672,0.667001,1
0.502774,0.115369,1
0.864913,0.543534,0
0.002716,0.325481,1
0.919243,0.995117,0
0.166514,0.526684,1
0.654565,0.079951,1
0.062134,0.473064,1
0.991536,0.366494,0
0.489960,0.956187,0
0.096997,0.002911,1
0.065891,0.889384,1
0.338675,0.149586,1
0.908912,0.929971,0
0.444214,0.120929,1
0.896797,0.325501,1
0.575729,0.799647,1
0.603745,0.403141,1
0.523565,0.962751,0
0.170763,0.573406,1
0.858520,0.281401,1
0.279745,0.991140,0
0.439004,0.287497,1
0.575512,0.217036,1
0.900358,0.367930,1
0.304177,0.580233,1
0.170213,0.585895,1
0.235756,0.434754,1
0.726900,0.404216,1
0.322992,0.801260,1
0.634616,0.903576,0
0.191626,0.393456,1
0.015666,0.275931,1
0.297716,0.585975,1
0.793938,0.718705,0
0.941665,0.720797,0
0.416427,0.120994,1
0.751819,0.601998,1
0.059455,0.464915,1
0.848599,0.471194,1
0.392884,0.035971,1
0.944712,0.393048,0
0.216446,0.035938,1
0.497558,0.984294,0
0.983097,0.278527,0
0.228090,0.174479,1
0.292912,0.491895,1
0.135029,0.564477,1
0.366373,0.796204,1
0.528589,0.502164,1
0.319845,0.522147,1
0.987566,0.207593,0
0.891681,0.717375,0
0.221867,0.064046,1
0.237852,0.980081,0
0.312972,0.485730,1
0.669031,0.591405,1
0.791492,0.601644,1
0.707356,0.629165,1
0.921319,0.963770,0
0.141309,0.011683,1
0.623701,0.298033,1
0.959167,0.259833,1
0.726205,0.199422,1
0.288926,0.327690,1
0.790729,0.811468,0
0.065877,0.477111,1
0.538037,0.840544,1
0.857253,0.820753,0
0.451455,0.171578,1
0.706534,0.322102,1
0.840232,0.160033,1
0.838800,0.483432,1
0.151609,0.728476,1
0.386665,0.675666,1
0.985501,0.326057,0
0.871930,0.365767,1
0.953116,0.700495,0
0.088417,0.336219,1
0.224953,0.113373,1
0.489692,0.727251,1
0.270138,0.427169,1
0.728782,0.028414,1
0.354230,0.779743,1
0.768305,0.017895,1
0.402344,0.344569,1
0.031964,0.238449,1
0.682594,0.778461,0
0.375177,0.340520,1
0.511012,0.668515,1
0.055336,0.679321,1
0.449240,0.789914,1
0.639945,0.828357,0
0.697122,0.577466,1
0.001115,0.984224,1
0.468412,0.188398,1
0.603541,0.307647,1
0.200866,0.910517,1
0.143655,0.480157,1
0.921439,0.161099,1
0.870355,0.472178,1
0.733805,0.228545,1
0.391670,0.240172,1
0.638865,0.625768,1
0.790134,0.495297,1
0.042487,0.535908,1
0.947131,0.187931,1
0.110495,0.361365,1
0.313152,0.969223,0
0.122047,0.532900,1
0.188463,0.732866,1
0.975540,0.363115,0
0.652604,0.182094,1
0.702374,0.243207,1
0.170628,0.046842,1
0.944145,0.148339,1
0.056755,0.484731,1
0.228156,0.155330,1
0.906728,0.292993,1
0.642984,0.212161,1
0.337635,0.970789,0
0.131208,0.372900,1
0.817572,0.364556,1
0.152218,0.242977,1
0.837199,0.075517,1
