x,y,inside
0.047312,0.813151,1
0.855359,0.776426,0
0.818360,0.843246,0
0.326860,0.224551,1
0.307892,0.016883,1
0.620465,0.367209,1
0.857047,0.755820,0
0.969742,0.533096,0
0.715426,0.130208,1
0.818713,0.831863,0
0.285629,0.912688,1
0.046087,0.431684,1
0.930879,0.884492,0
0.092594,0.605272,1
0.378796,0.731741,1
0.724348,0.772403,0
0.240669,0.085883,1
0.546486,0.214402,1
0.009306,0.154090,1
0.582964,0.483175,1
0.526521,0.477465,1
0.406537,0.979471,0
0.285273,0.926128,1
0.989392,0.900550,0
0.040413,0.535607,1
0.743788,0.814553,0
0.405415,0.252292,1
0.768022,0.437174,1
0.427115,0.793475,1
0.578175,0.350311,1
0.359530,0.069215,1
0.976516,0.353004,0
0.907294,0.139657,1
0.035633,0.872959,1
0.843858,0.587841,0
0.577610,0.802644,1
0.142292,0.093572,1
0.392006,0.368153,1
0.699785,0.829432,0
0.674002,0.884234,0
0.606744,0.823188,0
0.531048,0.976718,0
0.387527,0.027624,1
0.488523,0.874624,0
0.574908,0.233283,1
0.498024,0.872449,0
0.002562,0.130632,1
0.095900,0.087605,1
0.277159,0.305581,1
0.325938,0.828296,1
0.418895,0.875291,1
0.253642,0.373726,1
0.070677,0.350642,1
0.394726,0.319978,1
0.281101,0.295415,1
0.523727,0.414863,1
0.463173,0.973381,0
0.219914,0.613950,1
0.733148,0.346891,1
0.595709,0.545475,1
0.278203,0.207342,1
0.113930,0.263838,1
0.635690,0.221786,1
0.769729,0.010966,1
0.470916,0.558457,1
0.887268,0.165240,1
0.681359,0.010934,1
0.755058,0.815764,0
0.786973,0.436245,1
0.242160,0.228130,1
0.488510,0.815782,1
0.893359,0.668083,0
0.139433,0.905161,1
0.559042,0.466571,1
0.178435,0.452672,1
0.150570,0.082147,1
0.817268,0.617787,0
0.780020,0.609594,1
0.954183,0.439241,0
0.576238,0.145929,1
0.552655,0.056162,1
0.266531,0.320046,1
0.653155,0.214588,1
0.676755,0.308667,1
0.258734,0.556295,1
0.736000,0.286920,1
0.343341,0.050674,1
0.773719,0.654563,0
0.370680,0.453122,1
0.011431,0.009590,1
0.187989,0.512706,1
0.116029,0.748045,1
0.435552,0.713559,1
0.886962,0.694846,0
0.786541,0.419890,1
0.960938,0.473550,0
0.782788,0.229375,1
0.368739,0.804210,1
0.829564,0.055145,1
0.061001,0.891379,1
0.763738,0.305649,1
0.847171,0.881804,0
0.199094,0.437381,1
